name,birthyear,age
stefania constantini,1999,24
amos mosaner,1995,28
kristin skaslien,1986,37
magnus nedregotten,1990,33
almida de val,1997,26
oskar eriksson,1991,32
mikael kingsbury,1992,31
wallberg,2000,23
ikuma horishima,1997,26
nico porteous,2001,22
david wise,1990,33
alex ferreira,1994,29
henrik harlaut,1991,32
birk ruud,2000,23
colby stevenson,1997,26
sergey ridzik 1,1992,31
alex fiva,1986,37
ryan regez,1993,30
mathilde gremaud,2000,23
gu ailing eileen,2003,20
tess ledeux,2001,22
kauf,1996,27
anthony,1998,25
anastasiia smirnova,2002,21
marielle thompson,1992,31
sandra naeslund,1996,27
daniela maier,1996,27
ilia burov,1991,32
guangpu qi,1990,33
oleksandr abramenko,1988,35
hanna huskova,1992,31
mengtao xu,1990,33
megan nick,1996,27
cassie sharpe,1992,31
rachel karker,1997,26
kelly sildaru,2002,21
nicholas goepper,1994,29
jesper tjader,1994,29
alexander hall 1,1998,25
suzanne schulting,1997,26
boutin,1994,29
arianna fontana,1990,33
steven dubois,1997,26
shaoang liu,1998,25
konstantin ivliev,2000,23
semen elistratov,1990,33
daeheon hwang,1999,24
ren,1997,26
wenlong li,2001,22
choi minjeong,1998,25
hanne desmet,1996,27
queralt castellet,1989,34
tomita,1999,24
chloe kim,2000,23
nick baumgartner,1981,42
lindsey jacobellis,1985,38
omar visintin,1989,34
michela moioli,1995,28
eliot grondin,2001,22
meryeta odine,1997,26
chloe trespeuch,1994,29
tim mastnak,1991,32
benjamin karl,1985,38
vic wild,1986,37
murase kokomo,2004,19
zoi sadowski synnott,2001,22
anna gasser,1991,32
alessandro haemmerle,1993,30
parrot,1994,29
yiming su,2004,19
mark mcmorris,1993,30
jan scherrer,1994,29
ayumu hirano,1998,25
scotty james,1994,29
tess coady,2000,23
julia marino,1997,26
daniela ulbing,1998,25
ester ledecka,1995,28
gloria kotnik,1989,34
roisland,1997,26
marius lindvik,1998,25
kobayashi,1996,27
geiger,1993,30
katharina althaus,1996,27
ursa bogataj,1995,28
kriznar,2000,23
dawid kubacki,1990,33
manuel fettner,1985,38
mark kondratiuk,2003,20
kamila valieva,2006,17
wenjing sui,1995,28
cong han,1992,31
tarasova,1994,29
morozov,1992,31
anastasia mishina,null95,NaN
aleksandr galliamov,null96,NaN
gabriella papadakis,1995,28
guillaume cizeron,1994,29
victoria sinitsina,1995,28
nikita katsalapov,1991,32
madison hubbell,1991,32
donohue,1991,32
anna shcherbakova,2004,19
alexandra trusova,2004,19
kaori sakamoto,2000,23
shoma uno,1997,26
chen,1999,24
yuma kagiyama,2003,20
tobias wendl,1987,36
tobias arlt,1987,36
toni eggert,1988,35
sascha benecken,1990,33
thomas steu,1994,29
lorenz koller,1994,29
wolfgang kindl,1988,35
johannes ludwig,1986,37
dominik fischnaller,1993,30
anna berreiter,1999,24
tatyana ivanova,1991,32
natalie geisenberger,1988,35
quentin fillon maillet,1992,31
tarjei boe,1988,35
eduard latypov,null123,NaN
tiril eckhoff,1990,33
braisaz,1996,27
marte olsbu roeiseland,1990,33
elvira oeberg,1999,24
johannes thingnes boe,1993,30
dorothea wierer,1990,33
martin ponsiluoma,1995,28
vetle sjaastad christiansen,1992,31
smolski,1996,27
denise herrmann,1988,35
anais chevalier,1993,30
noel,1997,26
strolz,1992,31
foss solevaag,1991,32
beat feuz,1987,36
johan clarey,1981,42
matthias mayer,1990,33
puchner,1992,31
michelle gisin,1993,30
lara gut,1991,32
aleksander aamodt kilde,1992,31
cochran siegle,1992,31
suter,1994,29
sofia goggia,1992,31
nadia delago,1997,26
crawford 1,1997,26
mathieu faivre,1992,31
zan kranjec,1992,31
odermatt,1997,26
federica brignone,1990,33
sara hector,1992,31
wendy holdener,1993,30
petra vlhova,1995,28
liensberger,1997,26
jackie narracott,1990,33
hannah neise,2000,23
kimberley bos,1993,30
axel jungk,1991,32
wengang yan,1997,26
christopher grotheer,1992,31
maja dahlqvist,1994,29
jessica diggins,1991,32
jonna sundling,1994,29
hennig,1996,27
victoria carl,1995,28
belorukova,1995,28
nepryaeva,1995,28
erik valnes,1996,27
klaebo,1996,27
iivo niskanen,1992,31
joni maeki,1995,28
bolshunov,1996,27
alexander terentev,1999,24
denis spitsov,1996,27
teresa stadlober,1993,30
therese johaug,1988,35
kerttu niskanen,1988,35
parmakoski,1990,33
ivan yakimushkin,1996,27
simen hegstad krueger,1993,30
federico pellegrino,1990,33
kim 16,1999,24
kjeld nuis,1989,34
thomas krol,1992,31
jutta leerdam,1998,25
miho takagi,1994,29
brittany bowe,1988,35
laurent dubreuil,1992,31
havard lorentzen 1,1992,31
francesca lollobrigida,1991,32
ivanie blondin,1990,33
irene schouten,1992,31
roest,1995,28
nils van der poel,1996,27
hallgeir engebraaten,1999,24
martina sablikova,1987,36
isabelle weidemann,1995,28
davide ghiotto,1993,30
jaewon chung,2001,22
bart swings,1991,32
seung hoon lee,1988,35
antoinette de jong,1995,28
ireen wust,1986,37
erin jackson,1992,31
angelina golikova,1991,32
tingyu gao,1997,26
min kyu cha,1993,30
wataru morishige,2000,23
joergen graabak,1991,32
geiger 1,1997,26
lukas greiderer,1993,30
akito watabe,1988,35
jens luraas oftebro,2000,23
elana meyers taylor,1984,39
christine de bruin,1989,34
kaillie humphries,1985,38
francesco friedrich,1990,33
thorsten margis,1989,34
johannes lochner,1990,33
florian bauer,1994,29
christoph hafer,1992,31
matthias sommer,1991,32
laura nolte,1998,25
deborah levi,1997,26
mariama jamanka,1990,33
alexandra burghardt,1994,29
sylvia hoffman,1989,34
fatima galvez,1987,36
alberto fernandez 1,1983,40
alessandra perilli,1988,35
gian marco berti,1982,41
madelynn ann bernau,1998,25
brian burrows,1988,35
yulia zykova,1995,28
yulia karimova,1994,29
nina christen,1994,29
milenko sebic,1984,39
changhong zhang,2000,23
sergey kamenskiy,1987,36
jean quiquampoix,1995,28
leuris pupo,1977,46
yuehong li,1989,34
haoran yang,1996,27
lihao sheng,2004,19
william shaner,2001,22
qian yang,2000,23
anastasiia galashina,1997,26
jiri liptak,1982,41
david kostelecky,1975,48
matthew john coward holley,1994,29
diana bacosi,1983,40
meng wei,1989,34
amber english,1989,34
zuzana stefecekova,1984,39
kayle browning,1992,31
vitalina batsarashkina,1996,27
antoaneta boneva,1986,37
ranxin jiang,2000,23
mary carolynn tucker,2001,22
lucas kozeniesky,1995,28
jiaruixuan xiao,2002,21
minjung kim,1997,26
damir mikec,1984,39
wei pang,1986,37
javad foroughi,1979,44
artem chernousov,1996,27
olena kostevych,1985,38
oleh omelchuk,1983,40
abdullah alrashidi x5661,1963,60
vincent hancock,1989,34
jesper hansen,1980,43
zongyuan wang,2001,22
siyi xie,1996,27
andrew capobianco,1999,24
mike hixon,1994,29
patrick hausding,1989,34
lars rudiger,1996,27
tingmao shi,1991,32
han wang,1991,32
jennifer abel,1991,32
melissa citrini beaulieu,1995,28
lena hentschel,2001,22
tina punzel,1995,28
thomas daley,1994,29
matty lee,1998,25
yuan cao,1995,28
aisen chen,1995,28
aleksandr bondar,1993,30
viktor minibaev,1991,32
jack laugher,1995,28
yuxi chen,2005,18
jiaqi zhang,2004,19
jessica parratto,1994,29
delaney schnell,1998,25
gabriela belem agundez garcia,2000,23
alejandra orozco,1997,26
melissa wu,1992,31
hongchan quan,2007,16
jian yang x3822,1994,29
krysta palmer,1992,31
laurence vincent lapointe,1992,31
liudmyla luzan,1997,26
nevin harrison,2002,21
serguey torres,1987,36
fernando dayan jorge,1998,25
hao liu x6188,1993,30
pengfei zheng,1993,30
sebastian brendel,1988,35
tim hecker,1997,26
jean van der westhuyzen,1998,25
thomas green,1999,24
max hoff,1982,41
jacob schopf,1999,24
josef dostal,1993,30
radek slouf,1994,29
lisa carrington,1989,34
emma jorgensen,1996,27
teresa portela,1982,41
shixiao xu,1992,31
mengya sun,2001,22
anastasiia chetverikova,1998,25
katie vincent,1996,27
tamara csipes,1989,34
serghei tarnovschi,1997,26
isaquias queiroz dos santos,1994,29
adam varga x2538,1999,24
balint kopasz,1997,26
fernando pimenta,1989,34
caitlin ryan,1992,31
karolina naja,1990,33
anna pulawska,1996,27
danuta kozak,1987,36
dora bodonyi,1993,30
liam heath,1984,39
sandor totka,1994,29
manfredi rizza,1991,32
annemiek van vleuten,1982,41
anna kiesenhofer,1991,32
elisa longo borghini,1991,32
anna van der breggen,1990,33
marlen reusser,1991,32
primoz roglic,1989,34
rohan dennis,1990,33
tom dumoulin,1990,33
richard carapaz,1993,30
tadej pogacar,1998,25
wout van aert,1994,29
pat mccormack,1995,28
aidan walsh,1997,26
andrei zamkovoi,1987,36
roniel iglesias,1988,35
hebert sousa,1998,25
gleb bakshi,1995,28
oleksandr khyzhniak,1995,28
eumir marcial,1995,28
kamshybek kunkabayev,1991,32
bakhodir jalolov,1994,29
richard torrez jr,1999,24
frazer clarke,1991,32
benjamin whittaker,1997,26
loren berto alfonso dominguez,1995,28
arlen lopez,1993,30
imam khataev,1994,29
duke ragan,1997,26
samuel takyi,2000,23
albert batyrgaziev,1998,25
lazaro alvarez estrada,1991,32
abner teixeira,1996,27
muslim gadzhimagomedov,1997,26
david nyika,1995,28
julio la cruz peraza,1989,34
zenfira magomedalieva,1988,35
lauren price,1994,29
nouchka fontijn,1987,36
qian li 2,1990,33
kellie anne harrington,1989,34
beatriz ferreira,1992,31
mira potkonen,1980,43
sudaporn seesondee,1991,32
hong gu,1988,35
busenaz surmeneli,1998,25
oshae jones,1998,25
lovlina borgohain,1997,26
hsiao wen huang,1997,26
stoyka zhelyazkova krasteva,1985,38
buse naz cakiroglu,1996,27
tsukimi namiki,1998,25
carlo paalam,1998,25
ryomei tanaka,1993,30
saken bibossinov,1997,26
galal yafai,1992,31
irma testa,1997,26
sena irie,2000,23
nesthy petecio,1992,31
karriss artingstall,1994,29
keyshawn davis,1999,24
harrison garside,1997,26
hovhannes bachkov,1992,31
andy cruz,1995,28
svetlana kolesnichenko,1993,30
svetlana romashina,1989,34
xuechen huang,1990,33
wenyan sun,1989,34
marta fiedina,2002,21
anastasiya savchuk,1996,27
niek kimmann,1996,27
kye whyte,1999,24
carlos alberto ramirez yepes,1994,29
bethany shriever,1999,24
mariana pajon,1991,32
merel smulders,1998,25
georgia taylor brown,1994,29
flora duffy,1987,36
katie zaferes,1989,34
alex yee,1998,25
hayden wilde,1997,26
kristian blummenfelt,1994,29
bianca buitendag,1993,30
carissa moore,1992,31
amuro tsuzuki,2001,22
italo ferreira,1994,29
owen wright,1990,33
kanoa igarashi,1997,26
zhendong fan,1997,26
dimitrij ovtcharov,1988,35
long ma,1988,35
jun mizutani,1989,34
mima ito,2000,23
xin xu,1990,33
shiwen liu,1991,32
yun ju lin,2001,22
i ching cheng,1992,31
yingsha sun,2000,23
meng chen x5731,1994,29
hannes aigner,1989,34
jiri prskavec,1993,30
jakub grigar,1997,26
jessica fox,1994,29
andrea herzog,1999,24
mallory franklin,1994,29
ricarda funk,1992,31
maialen chourraut,1983,40
sideris tasiadis,1990,33
lukas rohan,1995,28
benjamin savsek,1987,36
sharon van rouwendaal,1993,30
ana marcela cunha,1992,31
kareena lee,1993,30
kristof rasovszky,1997,26
gregorio paltrinieri,1994,29
florian wellbrock,1997,26
dong dong,1989,34
ivan litvinovich,2001,22
dylan schmidt,1997,26
bryony page,1990,33
xueying zhu,1998,25
lingling liu,1994,29
ulugbek rashitov,2002,21
bradly sinden,1998,25
hakan recber,1999,24
shuai zhao,1995,28
seif eissa,1998,25
maksim khramtcov,1998,25
saleh elsharabaty,1998,25
toni kanaet,1995,28
kyo don in,1992,31
vladislav larin,1995,28
dejan georgievski,1999,24
rafael castillo,1993,30
milica mandic,1991,32
dabin lee,1996,27
althea laurin,2001,22
bianca walkden,1991,32
matea jelic,1997,26
lauren williams,1999,24
hedaya wahba,1993,30
ruth marie christelle gbagbi,1994,29
chia ling lo,2001,22
anastasija zolotic,2002,21
tatiana kudashova,1997,26
hatice kubra ilgun,1993,30
jun jang,2000,23
mohamed khalil jendoubi,2002,21
mikhail artamonov,1997,26
vito dell aquila,2000,23
adriana cerezo iglesias,2003,20
panipak wongpattanakit,1997,26
tijana bogdanovic,1998,25
abishag semberg,2001,22
shanju bao,1997,26
tianshi zhong,1991,32
lea sophie friedrich,2000,23
emma hinze,1997,26
daria shmeleva,1994,29
anastasiia voinova,1993,30
lasse norman hansen,1992,31
michael morkov,1985,38
ethan hayter,1998,25
matthew walls,1998,25
benjamin thomas,1995,28
donavan grondin,2000,23
harrie lavreysen,1997,26
jeffrey hoogland,1993,30
jack carlin,1997,26
azizulhasni awang,1988,35
jason kenny,1988,35
ellesse andrews,1999,24
shanne braspennincx,1991,32
lauriane genest,1998,25
olena starikova,1996,27
wai sze lee,1987,36
kelsey mitchell,1993,30
katie archibald,1994,29
laura kenny,1992,31
amalie dideriksen,1996,27
julie leth,1992,31
gulnaz badykova,1994,29
mariia novolodskaia,1999,24
elia viviani,1989,34
campbell stewart,1998,25
kirsten wild,1982,41
yumi kajihara,1997,26
jennifer valente,1994,29
